File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Read length	Run type	Library fragmentation method	Library size range	Biosample Age	Biological replicate	Technical replicate	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF001PIT	fastq	reads	ENCSR000CMW	DNase-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus						DNA		see document	see document		2013-02-01	ENCODE			single-ended	see document			1	1	614945137	John Stamatoyannopoulos, UW	8cc5de58299809b6184e3071a461f936	https://www.encodeproject.org/files/ENCFF001PIT/@@download/ENCFF001PIT.fastq.gz	mm9	
ENCFF001PIS	fastq	reads	ENCSR000CMW	DNase-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus						DNA		see document	see document		2013-02-01	ENCODE			single-ended	see document			1	1	622794595	John Stamatoyannopoulos, UW	0648aef65984f5d44f031a83b1b81044	https://www.encodeproject.org/files/ENCFF001PIS/@@download/ENCFF001PIS.fastq.gz	mm9	
ENCFF001PIV	fastq	reads	ENCSR000CMW	DNase-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus						DNA		see document	see document		2013-02-01	ENCODE			single-ended	see document			1	1	93552142	John Stamatoyannopoulos, UW	8b3feff85218df5626a768a2f970f9f9	https://www.encodeproject.org/files/ENCFF001PIV/@@download/ENCFF001PIV.fastq.gz	mm9	
ENCFF001PIU	fastq	reads	ENCSR000CMW	DNase-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus						DNA		see document	see document		2013-02-01	ENCODE			single-ended	see document			1	1	613392278	John Stamatoyannopoulos, UW	b6e30aa421454b60f11c9b761ffac2ad	https://www.encodeproject.org/files/ENCFF001PIU/@@download/ENCFF001PIU.fastq.gz	mm9	
ENCFF001PIX	fastq	reads	ENCSR000CMW	DNase-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus						DNA		see document	see document		2013-02-01	ENCODE			single-ended	see document			2	1	1070972988	John Stamatoyannopoulos, UW	43b2611cb4114378f85b41621db656b3	https://www.encodeproject.org/files/ENCFF001PIX/@@download/ENCFF001PIX.fastq.gz	mm9	
ENCFF001OXT	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	1	610544761	John Stamatoyannopoulos, UW	5c465b8e6afd0bfc8bfe14714264bd9b	https://www.encodeproject.org/files/ENCFF001OXT/@@download/ENCFF001OXT.fastq.gz		
ENCFF001OXU	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	631863808	John Stamatoyannopoulos, UW	4a28f744fe402836d6bab7e5d2e74b06	https://www.encodeproject.org/files/ENCFF001OXU/@@download/ENCFF001OXU.fastq.gz		HiSeq 2000
ENCFF001QCE	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	1	616359188	John Stamatoyannopoulos, UW	f8f6afbe01395384dc2a421fffa08d9f	https://www.encodeproject.org/files/ENCFF001QCE/@@download/ENCFF001QCE.fastq.gz		
ENCFF001QCF	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	320371690	John Stamatoyannopoulos, UW	d939e9a62b302fbcb9a9426aadb9c423	https://www.encodeproject.org/files/ENCFF001QCF/@@download/ENCFF001QCF.fastq.gz		HiSeq 2000
ENCFF001QCK	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	151926950	John Stamatoyannopoulos, UW	5849e29baac02f370c8838ee7df51384	https://www.encodeproject.org/files/ENCFF001QCK/@@download/ENCFF001QCK.fastq.gz		
ENCFF001OYG	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	635170523	John Stamatoyannopoulos, UW	46f7d5183bb04b878c40dc296789154a	https://www.encodeproject.org/files/ENCFF001OYG/@@download/ENCFF001OYG.fastq.gz	mm9	HiSeq 2000
ENCFF001OYM	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	589070583	John Stamatoyannopoulos, UW	3e3582880519f000d5869244a535b7a2	https://www.encodeproject.org/files/ENCFF001OYM/@@download/ENCFF001OYM.fastq.gz	mm9	HiSeq 2000
ENCFF001QCQ	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	118855573	John Stamatoyannopoulos, UW	8622a32da4febd735b7036e4f7019f8e	https://www.encodeproject.org/files/ENCFF001QCQ/@@download/ENCFF001QCQ.fastq.gz	mm9	
ENCFF001QCI	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	1	16333839	John Stamatoyannopoulos, UW	556145515da5c611e85e0695ba97ecb0	https://www.encodeproject.org/files/ENCFF001QCI/@@download/ENCFF001QCI.fastq.gz	mm9	
ENCFF001QCN	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	141762709	John Stamatoyannopoulos, UW	233824ac2e477fb50e632be786c3e65e	https://www.encodeproject.org/files/ENCFF001QCN/@@download/ENCFF001QCN.fastq.gz	mm9	
ENCFF001QCO	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	141357837	John Stamatoyannopoulos, UW	426ceb0ff3b00c02329a89afbd3ef871	https://www.encodeproject.org/files/ENCFF001QCO/@@download/ENCFF001QCO.fastq.gz	mm9	
ENCFF001OXY	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	626623112	John Stamatoyannopoulos, UW	cbf378a15efe7e297cb68e7f4007879a	https://www.encodeproject.org/files/ENCFF001OXY/@@download/ENCFF001OXY.fastq.gz	mm9	HiSeq 2000
ENCFF001OYD	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	635129817	John Stamatoyannopoulos, UW	583a93e60bd06334dd951fff0137f433	https://www.encodeproject.org/files/ENCFF001OYD/@@download/ENCFF001OYD.fastq.gz	mm9	HiSeq 2000
ENCFF001OYF	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	621473446	John Stamatoyannopoulos, UW	09b9c50868e6b9c01c00ad3ea7a570a6	https://www.encodeproject.org/files/ENCFF001OYF/@@download/ENCFF001OYF.fastq.gz	mm9	HiSeq 2000
ENCFF001OYO	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	16333839	John Stamatoyannopoulos, UW	0076eb814f6da0b4c923ea307932b015	https://www.encodeproject.org/files/ENCFF001OYO/@@download/ENCFF001OYO.fastq.gz	mm9	HiSeq 2000
ENCFF001QCG	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	1	589070583	John Stamatoyannopoulos, UW	4da06c49f961b91e768f0c8984f5b439	https://www.encodeproject.org/files/ENCFF001QCG/@@download/ENCFF001QCG.fastq.gz	mm9	
ENCFF001QCH	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	1	590508901	John Stamatoyannopoulos, UW	4cf2fa79e953f855d82e5b40831f9a25	https://www.encodeproject.org/files/ENCFF001QCH/@@download/ENCFF001QCH.fastq.gz	mm9	
ENCFF001QCP	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	141191289	John Stamatoyannopoulos, UW	a6065affd6cb13cd4d82c1f76398e14f	https://www.encodeproject.org/files/ENCFF001QCP/@@download/ENCFF001QCP.fastq.gz	mm9	
ENCFF001OXW	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	613169032	John Stamatoyannopoulos, UW	6b4a9052c24006e299518a5f7af7b44e	https://www.encodeproject.org/files/ENCFF001OXW/@@download/ENCFF001OXW.fastq.gz	mm9	HiSeq 2000
ENCFF001OXZ	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	621505078	John Stamatoyannopoulos, UW	802cc9bb2bf59e3a73b68fa12fe40707	https://www.encodeproject.org/files/ENCFF001OXZ/@@download/ENCFF001OXZ.fastq.gz	mm9	HiSeq 2000
ENCFF001OYA	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	639919656	John Stamatoyannopoulos, UW	bc25bb57531a467a0d5803f00bbc0cca	https://www.encodeproject.org/files/ENCFF001OYA/@@download/ENCFF001OYA.fastq.gz	mm9	HiSeq 2000
ENCFF001OYB	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	613872306	John Stamatoyannopoulos, UW	21bfa7bc0855fd8327dc38c0dc0cc614	https://www.encodeproject.org/files/ENCFF001OYB/@@download/ENCFF001OYB.fastq.gz	mm9	HiSeq 2000
ENCFF001OYC	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	621085879	John Stamatoyannopoulos, UW	5dd3aa5e894dbd66817c5e95093c99e8	https://www.encodeproject.org/files/ENCFF001OYC/@@download/ENCFF001OYC.fastq.gz	mm9	HiSeq 2000
ENCFF001OYI	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	628806780	John Stamatoyannopoulos, UW	8a7f2e83df3f75cb67ec9831b3023efe	https://www.encodeproject.org/files/ENCFF001OYI/@@download/ENCFF001OYI.fastq.gz	mm9	HiSeq 2000
ENCFF001QCL	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	375072496	John Stamatoyannopoulos, UW	33ef7c53a3e2b8f6742c69079cdae9b1	https://www.encodeproject.org/files/ENCFF001QCL/@@download/ENCFF001QCL.fastq.gz	mm9	
ENCFF001QCM	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	2	1	363615126	John Stamatoyannopoulos, UW	a318ffc0b1d678dc04a0376e1bdb2b70	https://www.encodeproject.org/files/ENCFF001QCM/@@download/ENCFF001QCM.fastq.gz	mm9	
ENCFF001OYE	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	604003191	John Stamatoyannopoulos, UW	2aa72ae6f75534e98a72a25d3de2ffa2	https://www.encodeproject.org/files/ENCFF001OYE/@@download/ENCFF001OYE.fastq.gz	mm9	HiSeq 2000
ENCFF001OYH	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	609556767	John Stamatoyannopoulos, UW	aa814affdc8d0e8c448c79a901022e78	https://www.encodeproject.org/files/ENCFF001OYH/@@download/ENCFF001OYH.fastq.gz	mm9	HiSeq 2000
ENCFF001OXX	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	634574309	John Stamatoyannopoulos, UW	585b1122c904171292fcb63f93fccaf6	https://www.encodeproject.org/files/ENCFF001OXX/@@download/ENCFF001OXX.fastq.gz	mm9	HiSeq 2000
ENCFF001OYK	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	616359188	John Stamatoyannopoulos, UW	5a7e5b15d130776a1002e2ca4a5e3109	https://www.encodeproject.org/files/ENCFF001OYK/@@download/ENCFF001OYK.fastq.gz	mm9	HiSeq 2000
ENCFF001OXV	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	630048350	John Stamatoyannopoulos, UW	ea828daa10c7ce596ee10b4c54020ed0	https://www.encodeproject.org/files/ENCFF001OXV/@@download/ENCFF001OXV.fastq.gz	mm9	HiSeq 2000
ENCFF001OYJ	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	468377037	John Stamatoyannopoulos, UW	053b02ea728be2c26205b656e8892a54	https://www.encodeproject.org/files/ENCFF001OYJ/@@download/ENCFF001OYJ.fastq.gz	mm9	HiSeq 2000
ENCFF001OYL	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	320371690	John Stamatoyannopoulos, UW	91d965636a31fa862056370cdc76a0a3	https://www.encodeproject.org/files/ENCFF001OYL/@@download/ENCFF001OYL.fastq.gz	mm9	HiSeq 2000
ENCFF001OYN	fastq	reads	ENCSR000COD	DNase-seq	CL:0000902	induced T-regulatory cell	primary cell	adult	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		8 week	1	2	590508901	John Stamatoyannopoulos, UW	f0440093b3639340fdb42d64a8d81ef8	https://www.encodeproject.org/files/ENCFF001OYN/@@download/ENCFF001OYN.fastq.gz	mm9	HiSeq 2000
ENCFF001PSR	fastq	reads	ENCSR000CNJ	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-11-15	ENCODE			single-ended	see document		14.5 day	1	1	611691297	John Stamatoyannopoulos, UW	1a040384ce48934329a9c264ca79f736	https://www.encodeproject.org/files/ENCFF001PSR/@@download/ENCFF001PSR.fastq.gz		
ENCFF001PSS	fastq	reads	ENCSR000CNJ	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-11-15	ENCODE			single-ended	see document		14.5 day	1	1	612734653	John Stamatoyannopoulos, UW	1fac738a89eda4e5a1177d77b58936e0	https://www.encodeproject.org/files/ENCFF001PSS/@@download/ENCFF001PSS.fastq.gz	mm9	
ENCFF001PSV	fastq	reads	ENCSR000CNJ	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-11-15	ENCODE			single-ended	see document		14.5 day	1	1	505636734	John Stamatoyannopoulos, UW	e385a0d78531f1f787022dcbbfa539e3	https://www.encodeproject.org/files/ENCFF001PSV/@@download/ENCFF001PSV.fastq.gz	mm9	
ENCFF001PST	fastq	reads	ENCSR000CNJ	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-11-15	ENCODE			single-ended	see document		14.5 day	1	1	366307815	John Stamatoyannopoulos, UW	499620310ea917a676a7c0c2253cb339	https://www.encodeproject.org/files/ENCFF001PST/@@download/ENCFF001PST.fastq.gz	mm9	
ENCFF001PSU	fastq	reads	ENCSR000CNJ	DNase-seq	UBERON:0002107	liver	tissue	embryonic	male	Mus musculus						DNA		see document	see document		2012-11-15	ENCODE			single-ended	see document		14.5 day	1	1	613800594	John Stamatoyannopoulos, UW	04cde011c846e83d881d5c0da745812a	https://www.encodeproject.org/files/ENCFF001PSU/@@download/ENCFF001PSU.fastq.gz	mm9	
ENCFF001PWE	fastq	reads	ENCSR000CNP	DNase-seq	EFO:0005480	MEL-GATA-1-ER	immortalized cell line	unknown	unknown	Mus musculus						DNA		see document	see document		2012-11-27	ENCODE			single-ended	see document			1	1	1422037643	John Stamatoyannopoulos, UW	6e71ea9d22ac3258773f9fddb6304514	https://www.encodeproject.org/files/ENCFF001PWE/@@download/ENCFF001PWE.fastq.gz		
ENCFF001PWG	fastq	reads	ENCSR000CNP	DNase-seq	EFO:0005480	MEL-GATA-1-ER	immortalized cell line	unknown	unknown	Mus musculus						DNA		see document	see document		2012-11-27	ENCODE			single-ended	see document			2	1	1286906144	John Stamatoyannopoulos, UW	8def77be33c8713faac128f22d3eb56f	https://www.encodeproject.org/files/ENCFF001PWG/@@download/ENCFF001PWG.fastq.gz		
ENCFF001PWH	fastq	reads	ENCSR000CNP	DNase-seq	EFO:0005480	MEL-GATA-1-ER	immortalized cell line	unknown	unknown	Mus musculus						DNA		see document	see document		2012-11-27	ENCODE			single-ended	see document			2	1	1284290446	John Stamatoyannopoulos, UW	edcf3eaea810cbc0fe1754df32d68a18	https://www.encodeproject.org/files/ENCFF001PWH/@@download/ENCFF001PWH.fastq.gz	mm9	
ENCFF001PWF	fastq	reads	ENCSR000CNP	DNase-seq	EFO:0005480	MEL-GATA-1-ER	immortalized cell line	unknown	unknown	Mus musculus						DNA		see document	see document		2012-11-27	ENCODE			single-ended	see document			1	1	232257687	John Stamatoyannopoulos, UW	4a2577a9bfddf865eb4b1d1a9ce10806	https://www.encodeproject.org/files/ENCFF001PWF/@@download/ENCFF001PWF.fastq.gz	mm9	
ENCFF001PWI	fastq	reads	ENCSR000CNP	DNase-seq	EFO:0005480	MEL-GATA-1-ER	immortalized cell line	unknown	unknown	Mus musculus						DNA		see document	see document		2012-11-27	ENCODE			single-ended	see document			2	1	310891407	John Stamatoyannopoulos, UW	0ef54c75c8b31d601616bf09867c56d4	https://www.encodeproject.org/files/ENCFF001PWI/@@download/ENCFF001PWI.fastq.gz	mm9	
ENCFF001OPI	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	1	621129157	John Stamatoyannopoulos, UW	1a0a16ed3430ddef387342aeee08d2d3	https://www.encodeproject.org/files/ENCFF001OPI/@@download/ENCFF001OPI.fastq.gz		
ENCFF001OPJ	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	637241512	John Stamatoyannopoulos, UW	32d8ad766393c89f460f22e3ce2618e2	https://www.encodeproject.org/files/ENCFF001OPJ/@@download/ENCFF001OPJ.fastq.gz		HiSeq 2000
ENCFF001PYC	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	1	623357507	John Stamatoyannopoulos, UW	1f3a87beba9512bcc9624681362363c4	https://www.encodeproject.org/files/ENCFF001PYC/@@download/ENCFF001PYC.fastq.gz		
ENCFF001PYD	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	554797656	John Stamatoyannopoulos, UW	2fbdaaba6fefd793e989af3a884d6686	https://www.encodeproject.org/files/ENCFF001PYD/@@download/ENCFF001PYD.fastq.gz		HiSeq 2000
ENCFF001OPK	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	625252671	John Stamatoyannopoulos, UW	a84043344dce641521721112ec79aefa	https://www.encodeproject.org/files/ENCFF001OPK/@@download/ENCFF001OPK.fastq.gz	mm9	HiSeq 2000
ENCFF001OPT	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	608407248	John Stamatoyannopoulos, UW	80e94e03f0c903a47128a66e20c4bfac	https://www.encodeproject.org/files/ENCFF001OPT/@@download/ENCFF001OPT.fastq.gz	mm9	HiSeq 2000
ENCFF001OQA	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	623357507	John Stamatoyannopoulos, UW	1071a6255ee3e1ba37590ae00130f387	https://www.encodeproject.org/files/ENCFF001OQA/@@download/ENCFF001OQA.fastq.gz	mm9	HiSeq 2000
ENCFF001OPO	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	629035881	John Stamatoyannopoulos, UW	c8b3a5e4591acaa4adbf4f2b242914ea	https://www.encodeproject.org/files/ENCFF001OPO/@@download/ENCFF001OPO.fastq.gz	mm9	HiSeq 2000
ENCFF001OPS	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	638521289	John Stamatoyannopoulos, UW	25c231f1c456a8acdcc9894f657f4b73	https://www.encodeproject.org/files/ENCFF001OPS/@@download/ENCFF001OPS.fastq.gz	mm9	HiSeq 2000
ENCFF001OPZ	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	34934374	John Stamatoyannopoulos, UW	51f382445f3722ddda987836a79a4c74	https://www.encodeproject.org/files/ENCFF001OPZ/@@download/ENCFF001OPZ.fastq.gz	mm9	HiSeq 2000
ENCFF001OQB	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	554797656	John Stamatoyannopoulos, UW	6edf484f1d46b23025ffeadfdc17c7e1	https://www.encodeproject.org/files/ENCFF001OQB/@@download/ENCFF001OQB.fastq.gz	mm9	HiSeq 2000
ENCFF001OQC	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	650109626	John Stamatoyannopoulos, UW	fe14c4376d2bad8760f28787da2fe784	https://www.encodeproject.org/files/ENCFF001OQC/@@download/ENCFF001OQC.fastq.gz	mm9	HiSeq 2000
ENCFF001OPL	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	618083391	John Stamatoyannopoulos, UW	a13449dd1d181004be0c723b4c3e17ca	https://www.encodeproject.org/files/ENCFF001OPL/@@download/ENCFF001OPL.fastq.gz	mm9	HiSeq 2000
ENCFF001OPW	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	615113916	John Stamatoyannopoulos, UW	a0acfef047ee1b4bd7bdea11a5ecf13f	https://www.encodeproject.org/files/ENCFF001OPW/@@download/ENCFF001OPW.fastq.gz	mm9	HiSeq 2000
ENCFF001OQE	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	374549367	John Stamatoyannopoulos, UW	2af5a782a4029f898b6f8b61f4df62c8	https://www.encodeproject.org/files/ENCFF001OQE/@@download/ENCFF001OQE.fastq.gz	mm9	HiSeq 2000
ENCFF001OQD	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	621712893	John Stamatoyannopoulos, UW	6f046b42e4901f0864471fa604c3123b	https://www.encodeproject.org/files/ENCFF001OQD/@@download/ENCFF001OQD.fastq.gz	mm9	HiSeq 2000
ENCFF001OPM	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	636876468	John Stamatoyannopoulos, UW	16a25928930053a6d7acf4a6afe91ce9	https://www.encodeproject.org/files/ENCFF001OPM/@@download/ENCFF001OPM.fastq.gz	mm9	HiSeq 2000
ENCFF001OPN	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	625461568	John Stamatoyannopoulos, UW	53a7965b063daf243fd4acc576a4054c	https://www.encodeproject.org/files/ENCFF001OPN/@@download/ENCFF001OPN.fastq.gz	mm9	HiSeq 2000
ENCFF001OPP	fastq	reads	ENCSR000CNV	DNase-seq	UBERON:0000966	retina	tissue	postnatal	male	Mus musculus						DNA		see document	see document		2012-09-07	ENCODE			single-ended	see document		1 day	1	2	643283354	John Stamatoyannopoulos, UW	a0821b3bded04ed8f1a6ec4e5252c4be	https://www.encodeproject.org/files/ENCFF001OPP/@@download/ENCFF001OPP.fastq.gz	mm9	HiSeq 2000
